|frequency_rank|speech_part|word_german|word_english|sentence_german|sentence_english
3091|2996|nachfolgen, folgt nach, folgte nach, ist nachgefolgt|adj|following, subsequently|Zuerst erklärt der Professor den bisherigen Forschungsstand und nachfolgend die neuesten Erkenntnisse.|First, the professor explains the previous state of research and subsequently the latest findings.
3092|2996|nachfolgen, folgt nach, folgte nach, ist nachgefolgt|verb|to follow, succeed|Nach der Wahl ist klar, wer dem alten Kanzler in dessen Amt nachfolgt.|After the election it is clear who will succeed the old chancellor.
3173|3077|vorübergehen, geht vorüber, ging vorüber, ist vorübergegangen|adj|temporary|Es handelt sich um eine vorübergehende Maßnahme.|It is a temporary measure.
3174|3077|vorübergehen, geht vorüber, ging vorüber, ist vorübergegangen|verb|to pass by|Der Sommer geht zu schnell vorüber.|Summer’s passing too fast.
3299|3202|wiedersehen, sieht wieder, sah wieder, hat wiedergesehen|das|reunion|Fünf Jahre nach dem Abschluss planen wir ein Wiedersehen.|We are planning a reunion five years after our graduation.
3300|3202|wiedersehen, sieht wieder, sah wieder, hat wiedergesehen|verb|to see again|Nächste Woche sehen wir uns wieder.|We will see each other again next week.
3335|3237|polnisch|adj|Polish|Die Familie lebt nahe der polnischen Grenze.|The family lives near the Polish border.
3336|3237|polnisch|das|Polish|Mona spricht Polnisch und Deutsch.|Mona speaks Polish and German.
3360|3261|indisch|adj|Indian|Pakora ist ein indisches Gericht.|Pakora is an Indian dish.
3361|3261|indisch|das|Indian|Rajesh Patel spricht zu Hause Indisch und in der Schule Deutsch.|Rejesh Patel speaks Indian at home and German at school.
3856|3756|die Unterlage, -n|die (pl)|documents|Bitte bringen Sie mir die Unterlagen bis morgen vorbei.|Please bring the documents to me by tomorrow.
3857|3756|die Unterlage, -n|die|base, pad, document|Schicken Sie uns Ihre Unterlagen bitte per Post.|Please send your documents by mail.
3863|3762|hessisch|adj|Hessian|Die hessische Hauptstadt ist Wiesbaden.|The Hessian capital is Wiesbaden.
3864|3762|hessisch|das|Hessian|Ann-Katrins Dialekt ist Hessisch.|Ann-Katrin’s dialect is Hessian.
