|song_id|word
372|1|Johohoho
373|1|der
374|1|Seemannsrose
375|1|Johohoho
376|1|jawohl
377|1|Johohoho
378|1|der
379|1|Seemannsrose
380|1|Johohoho
381|1|ahoi
382|1|Johohoho
383|1|der
384|1|Seemannsrose
385|1|Johohoho
386|1|jawohl
387|1|Johohoho
388|1|der
389|1|Seemannsrose
390|1|Johohoho
391|1|ahoi
392|2|er
393|2|schleichen
394|2|sich
395|2|an
396|2|der
397|2|Mensch
398|2|Menge
399|2|er
400|2|hingeben
401|2|sich
402|2|ganz
403|2|der
404|2|Fährte
405|2|hin
406|2|er
407|2|lieben
408|2|der
409|2|Stadt
410|2|der
411|2|Lärm
412|2|der
413|2|Enge
414|2|der
415|2|Jagen
416|2|sein
417|2|sein
418|2|Lustgewinn
419|2|es
420|2|übernehmen
421|2|ihn
422|2|der
423|2|Trieb
424|2|der
425|2|Jäger
426|2|angreifen
427|2|von
428|2|hinten
429|2|an
430|2|denn
431|2|in
432|2|der
433|2|Nacht
434|2|suchen
435|2|er
436|2|der
437|2|Liebe
438|2|Der
439|2|er
440|2|sonst
441|2|nirgends
442|2|finden
443|2|können
444|2|er
445|2|wollen
446|2|Fleisch
447|2|und
448|2|Fell
449|2|er
450|2|wollen
451|2|der
452|2|Haar
453|2|der
454|2|Haut
455|2|der
456|2|Glied
457|2|er
458|2|wollen
459|2|Fleisch
460|2|und
461|2|Fell
462|2|und
463|2|wenn
464|2|er
465|2|Blut
466|2|lecken
467|2|kommen
468|2|er
469|2|schnell
470|2|er
471|2|wollen
472|2|Fleisch
473|2|und
474|2|Fell
475|2|er
476|2|muss
477|2|es
478|2|tun
479|2|er
480|2|wollen
481|2|der
482|2|wieder
483|2|er
484|2|wollen
485|2|Fleisch
486|2|und
487|2|Fell
488|2|und
489|2|in
490|2|der
491|2|Großstadt
492|2|werden
493|2|es
494|2|hell
495|2|sie
496|2|liegen
497|2|da
498|2|ganz
499|2|eng
500|2|umschlung
501|2|der
502|2|Mann
503|2|in
504|2|Tier
505|2|der
506|2|Tier
507|2|in
508|2|Mann
509|2|sein
510|2|ineinander
511|2|eingedrungen
512|2|ein
513|2|surreal
514|2|Zweigespann
515|2|er
516|2|flüstern
517|2|sanft
518|2|in
519|2|taub
520|2|Ohr
521|2|ich
522|2|habn
523|2|sich
524|2|so
525|2|auf
526|2|dich
527|2|freuen
528|2|heut
529|2|haben
530|2|du
531|2|unsrer
532|2|Kampf
533|2|verlieren
534|2|-
535|2|doch
536|2|morgen
537|2|jag
538|2|ich
539|2|dich
540|2|erneut
541|2|er
542|2|wollen
543|2|Fleisch
544|2|und
545|2|Fell
546|2|er
547|2|wollen
548|2|der
549|2|Haar
550|2|der
551|2|Haut
552|2|der
553|2|Glied
554|2|er
555|2|wollen
556|2|Fleisch
557|2|und
558|2|Fell
559|2|und
560|2|wenn
561|2|er
562|2|Blut
563|2|lecken
564|2|kommen
565|2|er
566|2|schnell
567|2|er
568|2|wollen
569|2|Fleisch
570|2|und
571|2|Fell
572|2|er
573|2|muss
574|2|es
575|2|tun
576|2|er
577|2|wildern
578|2|wieder
579|2|er
580|2|wollen
581|2|Fleisch
582|2|und
583|2|Fell
584|2|und
585|2|in
586|2|der
587|2|Großstadt
588|2|werden
589|2|es
590|2|hell
591|2|doch
592|2|wenn
593|2|er
594|2|morgens
595|2|in
596|2|der
597|2|Spiegel
598|2|schauen
599|2|dann
600|2|haben
601|2|er
602|2|Träne
603|2|in
604|2|Gesicht
605|2|an
606|2|wahr
607|2|lieb
608|2|haben
609|2|er
610|2|nie
611|2|glauben
612|2|doch
613|2|Schuld
614|2|und
615|2|Reue
616|2|kennen
617|2|er
618|2|Nein
619|2|Schuld
620|2|und
621|2|Reue
622|2|fühlen
623|2|er
624|2|nicht
625|2|er
626|2|wollen
627|2|Fleisch
628|2|und
629|2|Fell
630|2|er
631|2|wollen
632|2|der
633|2|Haar
634|2|der
635|2|Haut
636|2|der
637|2|Glied
638|2|er
639|2|wollen
640|2|Fleisch
641|2|und
642|2|Fell
643|2|und
644|2|wenn
645|2|er
646|2|Blut
647|2|lecken
648|2|kommen
649|2|er
650|2|schnell
651|2|er
652|2|wollen
653|2|Fleisch
654|2|und
655|2|Fell
656|2|er
657|2|muss
658|2|es
659|2|tun
660|2|er
661|2|wildern
662|2|wieder
663|2|er
664|2|wollen
665|2|Fleisch
666|2|und
667|2|Fell
668|2|und
669|2|in
670|2|der
671|2|Großstadt
672|2|werden
673|2|es
674|2|hell
675|3|auf
676|3|jeder
677|3|Tisch
678|3|liegen
679|3|bleich
680|3|Haut
681|3|so
682|3|still
683|3|und
684|3|starr
685|3|und
686|3|ohne
687|3|Qual
688|3|der
689|3|Schädel
690|3|auf
691|3|der
692|3|Brust
693|3|entzwei
694|3|der
695|3|Leib
696|3|gebährn
697|3|zu
698|3|letzter
699|3|mal
700|3|der
701|3|Napf
702|3|voll
703|3|mit
704|3|Fett
705|3|und
706|3|Hirn
707|3|aus
708|3|Gott
709|3|Tempel
710|3|Teufel
711|3|Stall
712|3|mit
713|3|Kopf
714|3|an
715|3|Kopf
716|3|auf
717|3|blank
718|3|Boden
719|3|Paradies
720|3|und
721|3|Sündenfall
722|3|der
723|3|Rest
724|3|in
725|3|Eimer
726|3|lauter
727|3|Fehlgebot
728|3|Haar
729|3|von
730|3|Greis
731|3|und
732|3|Blut
733|3|von
734|3|Mädchen
735|3|der
736|3|sich
737|3|einst
738|3|verkaufen
739|3|an
740|3|fett
741|3|Fleisch
742|3|wenn
743|3|du
744|3|der
745|3|Antwort
746|3|suchen
747|3|auf
748|3|alle
749|3|wer
750|3|dich
751|3|quälen
752|3|Mensch
753|3|sein
754|3|gebären
755|3|zu
756|3|sterben
757|3|wir
758|3|sein
759|3|für
760|3|kurz
761|3|Zeit
762|3|hier
763|3|einfädeln
764|3|und
765|3|dann
766|3|verlieren
767|3|wir
768|3|unser
769|3|Fade
770|3|wieder
771|3|wir
772|3|sein
773|3|für
774|3|kurz
775|3|Zeit
776|3|hier
777|3|einfädeln
778|3|und
779|3|dann
780|3|verbrennen
781|3|man
782|3|unser
783|3|kalt
784|3|Glied
785|3|der
786|3|Tür
787|3|zu
788|3|der
789|3|Regler
790|3|auf
791|3|der
792|3|Fleisch
793|3|verlässen
794|3|der
795|3|Jammertal
796|3|was
797|3|früh
798|3|Groß
799|3|werden
800|3|winzig
801|3|klein
802|3|der
803|3|Herz
804|3|entflammen
805|3|zu
806|3|letzer
807|3|mal
808|3|man
809|3|sehen
810|3|nur
811|3|Asche
812|3|Lauter
813|3|Staubgeborene
814|3|umhertanzen
815|3|umher
816|3|ein
817|3|Häufchen
818|3|Schmutz
819|3|auf
820|3|feuerfest
821|3|Bahre
822|3|in
823|3|Flammenmeer
824|3|wenn
825|3|du
826|3|der
827|3|Antwort
828|3|suchen
829|3|auf
830|3|alle
831|3|wer
832|3|dich
833|3|quälen
834|3|Mensch
835|3|sein
836|3|gebären
837|3|zu
838|3|sterben
839|3|wir
840|3|sein
841|3|für
842|3|kurz
843|3|Zeit
844|3|hier
845|3|einfädeln
846|3|und
847|3|dann
848|3|verlieren
849|3|wir
850|3|unser
851|3|Faden
852|3|wieder
853|3|wir
854|3|sein
855|3|für
856|3|kurz
857|3|Zeit
858|3|hier
859|3|einfädeln
860|3|und
861|3|dann
862|3|verbrennen
863|3|man
864|3|unser
865|3|kalt
866|3|Glieder
867|3|Feuer
868|3|Feuer
869|3|Feuer
870|3|Feuer
871|3|Feuer
872|3|Feuer
873|3|wir
874|3|sein
875|3|für
876|3|kurz
877|3|Zeit
878|3|hier
879|3|einfädeln
880|3|und
881|3|dann
882|3|verlieren
883|3|wir
884|3|unser
885|3|Faden
886|3|wieder
887|3|wir
888|3|sein
889|3|für
890|3|kurz
891|3|Zeit
892|3|hier
893|3|einfädeln
894|3|und
895|3|dann
896|3|verbrennen
897|3|man
898|3|unser
899|3|kalt
900|3|Glieder
901|3|wir
902|3|sein
903|3|für
904|3|kurz
905|3|Zeit
906|3|hier
907|3|einfädeln
908|3|und
909|3|dann
910|3|verlieren
911|3|wir
912|3|unser
913|3|Faden
914|3|wieder
915|3|wir
916|3|sein
917|3|für
918|3|kurz
919|3|Zeit
920|3|hier
921|3|einfädeln
922|3|und
923|3|dann
924|3|verbrennen
925|3|man
926|3|unser
927|3|kalt
928|3|Glied
929|4|du
930|4|sein
931|4|reich
932|4|du
933|4|sein
934|4|schön
935|4|gestern
936|4|habn
937|4|ich
938|4|dich
939|4|sehen
940|4|und
941|4|nun
942|4|sehn
943|4|ich
944|4|sich
945|4|nach
946|4|dein
947|4|süß
948|4|Mund
949|4|Auge
950|4|sanft
951|4|wie
952|4|Mondenschein
953|4|Rosenblatt
954|4|würd
955|4|ich
956|4|streuen
957|4|Vers
958|4|schenken
959|4|ich
960|4|dir
961|4|aus
962|4|tiefstem
963|4|Herzensgrund
964|4|doch
965|4|unerreichbar
966|4|fern
967|4|sein
968|4|du
969|4|auf
970|4|ewig
971|4|Frommer
972|4|Wunsch
973|4|werden
974|4|es
975|4|sein
976|4|der
977|4|mir
978|4|hineinfahren
979|4|in
980|4|Herz
981|4|hinein
982|4|und
983|4|seit
984|4|der
985|4|verfluch
986|4|ich
987|4|jeder
988|4|voll
989|4|Stunde
990|4|Sag
991|4|warum
992|4|sein
993|4|ich
994|4|so
995|4|allein
996|4|bei
997|4|Tag
998|4|und
999|4|bei
1000|4|Nacht
1001|4|Such
1002|4|der
1003|4|einer
1004|4|der
1005|4|mich
1006|4|befreien
1007|4|Mich
1008|4|verehren
1009|4|aus
1010|4|sein
1011|4|tief
1012|4|Herzensgrund
1013|4|und
1014|4|mit
1015|4|Minne
1016|4|mich
1017|4|begehren
1018|4|zu
1019|4|jeder
1020|4|Stunde
1021|4|ich
1022|4|sein
1023|4|arm
1024|4|du
1025|4|sein
1026|4|reich
1027|4|Meine
1028|4|Hand
1029|4|sein
1030|4|nicht
1031|4|weich
1032|4|denn
1033|4|der
1034|4|Welt
1035|4|sein
1036|4|aller
1037|4|anderer
1038|4|als
1039|4|ein
1040|4|Garten
1041|4|wo
1042|4|viel
1043|4|bunt
1044|4|Blume
1045|4|blühen
1046|4|Rose
1047|4|Veilchen
1048|4|und
1049|4|Jasmin
1050|4|und
1051|4|so
1052|4|muss
1053|4|ich
1054|4|bis
1055|4|zu
1056|4|jung
1057|4|Tag
1058|4|warten
1059|4|Träne
1060|4|brennen
1061|4|heiß
1062|4|in
1063|4|mein
1064|4|Auge
1065|4|ach
1066|4|was
1067|4|sein
1068|4|mit
1069|4|mir
1070|4|geschehen
1071|4|seit
1072|4|mein
1073|4|Auge
1074|4|dich
1075|4|sehen
1076|4|aller
1077|4|Zeit
1078|4|verfluch
1079|4|ich
1080|4|jeder
1081|4|voll
1082|4|Stunde
1083|4|Sag
1084|4|warum
1085|4|sein
1086|4|ich
1087|4|so
1088|4|allein
1089|4|bei
1090|4|Tag
1091|4|und
1092|4|bei
1093|4|Nacht
1094|4|Such
1095|4|der
1096|4|einer
1097|4|der
1098|4|mich
1099|4|befreien
1100|4|Mich
1101|4|verehren
1102|4|aus
1103|4|sein
1104|4|tief
1105|4|Herzensgrund
1106|4|und
1107|4|mit
1108|4|Minne
1109|4|mich
1110|4|begehren
1111|4|zu
1112|4|jeder
1113|4|Stunde
1114|4|Sag
1115|4|warum
1116|4|sein
1117|4|ich
1118|4|so
1119|4|allein
1120|4|bei
1121|4|Tag
1122|4|und
1123|4|bei
1124|4|Nacht
1125|4|Such
1126|4|der
1127|4|einer
1128|4|der
1129|4|mich
1130|4|befreien
1131|4|Mich
1132|4|verehren
1133|4|aus
1134|4|sein
1135|4|tief
1136|4|Herzensgrund
1137|4|und
1138|4|mit
1139|4|Minne
1140|4|mich
1141|4|begehren
1142|4|zu
1143|4|jeder
1144|4|Stunde
1145|5|schon
1146|5|als
1147|5|Kind
1148|5|sein
1149|5|ich
1150|5|alt
1151|5|sein
1152|5|ich
1153|5|alle
1154|5|voraus
1155|5|schon
1156|5|als
1157|5|Kind
1158|5|sein
1159|5|ich
1160|5|kalt
1161|5|und
1162|5|ich
1163|5|ausrechnen
1164|5|aus
1165|5|wie
1166|5|viel
1167|5|Zeit
1168|5|mir
1169|5|noch
1170|5|bleiben
1171|5|wussen
1172|5|ich
1173|5|ohnehin
1174|5|weil
1175|5|ich
1176|5|unzerstörbar
1177|5|sein
1178|5|ich
1179|5|sein
1180|5|cool
1181|5|ich
1182|5|sein
1183|5|hart
1184|5|und
1185|5|ich
1186|5|wusste
1187|5|was
1188|5|gehen
1189|5|ich
1190|5|sein
1191|5|clever
1192|5|und
1193|5|smart
1194|5|und
1195|5|habn
1196|5|lang
1197|5|überlegen
1198|5|warum
1199|5|sein
1200|5|ich
1201|5|aus
1202|5|Stahl
1203|5|worin
1204|5|liegen
1205|5|der
1206|5|Sinn
1207|5|dass
1208|5|ich
1209|5|unzerstörbar
1210|5|sein
1211|5|dieser
1212|5|Welt
1213|5|sein
1214|5|so
1215|5|klein
1216|5|so
1217|5|viel
1218|5|klein
1219|5|als
1220|5|ich
1221|5|Superheld
1222|5|ganz
1223|5|allein
1224|5|ob
1225|5|ich
1226|5|wollen
1227|5|oder
1228|5|nicht
1229|5|mittlerweile
1230|5|fragn
1231|5|ich
1232|5|mich
1233|5|sein
1234|5|hier
1235|5|jemand
1236|5|so
1237|5|wie
1238|5|ich
1239|5|niemand
1240|5|wissen
1241|5|ich
1242|5|sein
1243|5|unzerstörbar
1244|5|nichts
1245|5|und
1246|5|niemand
1247|5|aufhalten
1248|5|mich
1249|5|auf
1250|5|niemand
1251|5|wissen
1252|5|ich
1253|5|sein
1254|5|unzerstörbar
1255|5|alle
1256|5|muss
1257|5|zu
1258|5|Ende
1259|5|gehn
1260|5|und
1261|5|nur
1262|5|ich
1263|5|können
1264|5|es
1265|5|überstehn
1266|5|ich
1267|5|sein
1268|5|unzerstörbar
1269|5|unzerstörbar
1270|5|überall
1271|5|stellen
1272|5|sich
1273|5|mir
1274|5|irgendwa
1275|5|in
1276|5|der
1277|5|Weg
1278|5|Mir
1279|5|egal
1280|5|seins
1281|5|wohnen
1282|5|dass
1283|5|nur
1284|5|ich
1285|5|überlegn
1286|5|Sex
1287|5|und
1288|5|Macht
1289|5|-
1290|5|Ruhm
1291|5|und
1292|5|Geld
1293|5|nur
1294|5|verbrannt
1295|5|Zeit
1296|5|nichts
1297|5|sein
1298|5|für
1299|5|der
1300|5|Ewigkeit
1301|5|dieser
1302|5|Welt
1303|5|sein
