|word|lemma
2195|battle|battle
2202|nich|nich
2203|boomeren|boomeren
2211|Atzen|Atzen
2212|fuck|fuck
2217|weak|weak
2220|Savas|Savas
2221|Beatles|Beatles
2224|toxic|toxic
2234|dreads|dreads
2235|Appropriat|Appropriat
2236|Culture|Culture
2250|Geburtstagstorte|Geburtstagstorte
2259|allererster|allererster
2265|ABC|ABC
2268|Boxverein|Boxverein
2271|Pickeln|Pickeln
2272|übersaten|übersatten
2274|Nina|Nina
2276|verheulen|verheulen
2279|partyschwul|partyschwul
2292|Hartz|Hartz
2304|Schneidezähne|Schneidezähne
2311|punk|punk
2317|Sid|Sid
2323|likeen|likeen
2331|Gloriola|Gloriola
2336|Zappa|Zappa
2337|Frank|Frank
2343|Wölfi|Wölfi
2344|TEC|TEC
2345|Schokoladenpunk|Schokoladenpunk
2347|Chardonnay|Chardonnay
2356|Moves|Moves
2363|Spotify|Spotify
2370|Germany|Germany
2385|Befindlichkeitsscheiße|Befindlichkeitsscheiße
2409|Wellblechzaun|Wellblechzaun
2410|Aldi|Aldi
2413|Blum|Blum
2420|Judith|Judith
2421|Holoferne|Holoferne
2435|Holofernes|Holofernes
2454|Starbucks|Starbucks
2455|Phuket|Phuket
2462|Mainz|Mainz
2465|Ciao|Ciao
2468|Google|Google
2478|Fotohandy|Fotohandy
2484|Ramschhändler|Ramschhändler
2493|Trekkingzelt|Trekkingzelt
2495|naturbewusst|naturbewusst
2496|Flugzeugschmutz|Flugzeugschmutz
2499|Hektikmodus|Hektikmodus
2503|Jetpilot|Jetpilot
2504|Geldwechselstrom|Geldwechselstrom
2505|Hotelrezeption|Hotelrezeption
2509|Beck|Beck
2525|Pringles|Pringles
2546|Jobroutine|Jobroutine
2550|Hola|Hola
2551|amazing|amazing
2554|wärens|wären
2567|ohh|ohh
2573|Damn|Damn
2574|change|change
2576|fresh|fresh
2578|Catchphrase|Catchphrase
2583|Ferrari|Ferrari
2584|nächster|nächster
2586|Alkoholkarriere|Alkoholkarriere
2592|Naturgötter|Naturgötter
2594|Bungeespringer|Bungeespringer
2603|Passport|Passport
2611|äußerer|äußerer
2617|Gefangener|Gefangener
2626|Egoallergie|Egoallergie
2634|Eo|Eo
2635|eo|eo
2637|Heeo|Heeo
2648|Benz|Benz
2666|Dieter|Dieter
2668|Werner|Werner
2703|Verkleidungskünstler|Verkleidungskünstler
2704|Karnevalsnacht|Karnevalsnacht
2710|Ähh|Ähh
2713|hüa|hüa
2721|daccord|daccord
2735|Tausendsasser|Tausendsasser
2737|Frauenbetaster|Frauenbetaster
2740|Lagosch|Lagosch
2741|terroretisch|terroretisch
2742|rumkaspern|rumkaspern
2748|Boys|Boys
2753|Weltwackelbild|Weltwackelbild
2761|Tja|Tja
2772|days|days
2773|Strw|Strw
2777|Spe|Spe
2787|Schmuckladen|Schmuckladen
2790|Cuxhaven|Cuxhaven
2792|Puffdame|Puffdame
2797|rimmen|rimmen
2798|go|go
2799|Alligatoah|Alligatoah
2801|Whoo|Whoo
2811|Cro|Cro
2815|Stichprobentest|Stichprobentest
2820|Äh|Äh
2833|Iggy|Iggy
2835|zeugenlos|zeugenlos
2837|Gassi|Gassi
2839|euphorieberaubt|euphorieberaubt
2842|tippitop|tippitop
2855|Luftschlössern|Luftschlösser
2871|Giftschlangengrube|Giftschlangengrube
2894|Sandstaub|der Sandstaub
2927|yes|yes
2928|no|no
2931|Kiss|kiss
2932|rausgehören|rausgehören
2935|öh|öh
2938|Leonardo|Leonardo
2939|Da|Da
2940|Vinci|Vinci
2941|viertbester|viertbester
2942|Kirschkernweitspucker|der Kirschkernweitspucker
2943|Köpenick|Köpenick
2945|Trek|Trek
2947|Regiekommentar|der Regiekommentar
2948|Napoleon|Napoleon
2963|bunen|bunen
2964|win|win
2968|wrong|wrong
2969|Kong|Kong
2978|Simple|simple
2979|Polizeibeamter|der Polizeibeamter
2983|ACAB|ACAB
2985|Playsi|Playsi
2991|simple|simple
2998|Amazon|Amazon
3000|Jeff|Jeff
3001|Bezos|Bezos
3002|Scheißjob|der Scheißjob
3011|en|en
3012|allemand|allemand
3013|Orelsan|Orelsan
3023|siebenundzwanzig|siebenundzwanzig
3028|Freitagnacht|die Freitagnacht
3033|entspannt|entspannt
3034|Sonntagsbrunch|der Sonntagsbrunch
3035|Pärchenurlaub|der Pärchenurlaub
3044|Spieleabend|der Spieleabend
3046|Risikoanlage|die Risikoanlage
3058|Plastikbong|die Plastikbong
3065|Quarterlife|Quarterlife
3066|Crisis|Crisis
3079|Wär|wäre
3095|Ehrenmedaille|die Ehrenmedaille
3096|Teilnehmerurkunde|die Teilnehmerurkunde
3105|Deagle|die Deagle
3107|Gatoah|Gatoah
3114|Beautyprodukt|das Beautyprodukt
3118|Gesichtsfalte|die Gesichtsfalte
3119|Jackson|Jackson
3123|Lieblingsrohstoff|der Lieblingsrohstoff
3127|yo|yo
3128|Spieglein|das Spieglein
3145|Schrottfetze|die Schrottfetze
3153|Designerjacke|die Designerjacke
3155|Come|come
3199|kontrollzwangsgesteuert|kontrollzwangsgesteuert
3213|wärs|wäre
3232|Bikinioberteil|das Bikinioberteil
3246|Society|society
3250|Proletenpack|das Proletenpack
3262|Spielplatzbesuch|der Spielplatzbesuch
3263|andre|andere
3274|Kindergartenleiter|der Kindergartenleiter
3278|Batman|Batman
3279|Eisprinzessin|die Eisprinzessin
3280|reinsetzen|reinsetzen
3291|Supermarktfiliale|die Supermarktfiliale
3314|hinterletzter|hinterletzter
3321|Balenciaga|Balenciaga
3326|sechshundert|sechshundert
3332|Deichmann|Deichmann
3333|Victory|victory
3334|Thrasher|Thrasher
3336|Fendi|Fendi
3337|Fila|Fila
3343|Gucci|Gucci
3347|Life|life
3353|Prada|Prada
3355|Supreme|Supreme
3357|Moncler|Moncler
3360|neunhundert|neunhundert
3362|Vuitton|Vuitton
3363|Ankle|ankle
3367|Bro|bro
3369|Nike|Nike
3370|Dior|Dior
3371|Gosha|Gosha
3372|Yeezy|Yeezy
3373|Vetements|Vetements
3382|resellen|resellen
3385|Vetement|Vetement
3390|Worttransport|der Worttransport
3420|Bangkok|Bangkok
3421|Penélope|Penélope
3422|Cruz|Cruz
3433|Visa|Visa
3436|Nächster|nächster
3437|wars|war
3445|Schienbeintritt|der Schienbeintritt
3446|dritter|dritter
5626|the|the
215|-|-
769|Pre-Chorus|der Pre-Chorus
991|Rap-Wichser|der Rap-Wichser
1046|G-spot|der G-spot
1060|G-point|der G-point
1100|near|-
1141|Pegida-Methodik|die Pegida-Methodik
1168|Volk-Geschrei|das Volk-Geschrei
1178|übelst|übelst
1218|brett-fett|-
1265|you|-
1322|Shame|die Shame
1427|33|dreiunddreißig
1471|Pre-Hook|der Pre-Hook
1525|Holocaust-Mahnmal|das Holocaust-Mahnmal
1532|Henna-rot|henna-rot
1592|Roman-Ressort|das Roman-Ressort
1696|Work-Party|die Work-Party
1698|Start-Up-Unternehmer|der Start-Up-Unternehmer
1699|Ramones-Shirt|das Ramones-Shirt
1735|Reed-Konzert|das Reed-Konzert
1982|Die-Welt-Ficken|die Die-Welt-Ficken
2016|ah-ah|-
2049|Ah-ah|-
2054|Netflix-Serie|die Netflix-Serie
2079|De-de-de-de-de|-
2080|de-de-de-de|-
2107|Schreie|die Schreie
2174|Straight-Edge|das Straight-Edge
2184|Unsere|unsere
2238|Anna-Lena|die Anna-Lena
2239|Baader-Meinhof|die Baader-Meinhof
2333|Deutschland-D|das Deutschland-D
2339|Punk-Boulevard|der Punk-Boulevard
2348|Fünf-Gänge-Punk|der Fünf-Gänge-Punk
2349|Punk-Gourmet|der Punk-Gourmet
2364|Workout-Playlist|die Workout-Playlist
2368|Welthass-Selbsthass-Mix|der Welthass-Selbsthass-Mix
2374|Boss-Transformation|die Boss-Transformation
2378|Modus-Mio-isiert|modus-mio-isiert
2393|SMS-Kurznachricht|die SMS-Kurznachricht
2403||-
2469|Touri-Gesindel|das Touri-Gesindel
2475|Profi-Cam|die Profi-Cam
2544|E-E-Erinnerung|die E-E-Erinnerung
2555|Tro-|-
2557|-phäen|-
2561|Rhythme|der Rhythme
2572|Break-up-Frisur|die Break-up-Frisur
2579|Fast-Food-Narr|der Fast-Food-Narr
2608|360|dreihundertsechzig
2610|-60|minus sechzig
2702|Märchen-Erzähler|der Märchen-Erzähler
2712|Diss-Angriff|der Diss-Angriff
