|lemma|lemma_correct
337.0|tief|
338.0|Minne|die Minne
339.0|begehren|
340.0|arm|
342.0|Hand|die Hand
343.0|weich|
344.0|Welt|die Welt
345.0|aller|
347.0|als|
348.0|Garten|der Garten
349.0|wo|
350.0|bunt|
351.0|Blume|die Blume
352.0|blühen|
353.0|Rose|die Rose
354.0|Veilchen|das Veilchen
355.0|Jasmin|der Jasmin
356.0|bis|
357.0|jung|
358.0|brennen|
359.0|heiß|
360.0|ach|
361.0|geschehen|
362.0|Kind|das Kind
363.0|alt|
364.0|rechnen|
365.0|noch|
366.0|bleiben|
368.0|ohnehin|
369.0|weil|
370.0|unzerstörbar|
372.0|cool|
373.0|hart|
375.0|clever|
376.0|smart|
377.0|überlegen|
378.0|Stahl|der Stahl
379.0|worin|
380.0|Sinn|der Sinn
380.1||die Sinn
381.0|dass|
382.0|Superheld|der Superheld
383.0|ob|
384.0|oder|
385.0|mittlerweile|
387.0|jemand|
388.0|niemand|
389.0|wissen|
390.0|halten|
391.0|Ende|das Ende
393.0|überstehen|
394.0|überall|
395.0|stellen|
397.0|Weg|der Weg
399.0|egal|
401.0|wohnen|
403.0|Sex|der Sex
404.0|Macht|die Macht
405.0|Ruhm|der Ruhm
406.0|Geld|das Geld
408.0|Ewigkeit|die Ewigkeit
409.0|genau|
410.0|derselbe|
411.0|umgeben|
412.0|Atemzug|der Atemzug
413.0|schwer|
415.0|schreien|
416.0|hören|
417.0|Abgrund|der Abgrund
419.0|Fuß|der Fuß
421.0|Mal|das Mal
422.0|dasselbe|
423.0|Spiel|das Spiel
424.0|längst|
425.0|Ziel|das Ziel
426.0|Erde|die Erde
427.0|rieseln|
428.0|leicht|
429.0|scheinbar|
430.0|Drum|
432.0|Schaufel|die Schaufel
434.0|erwarten|
435.0|Grab|das Grab
436.0|Tunnel|der Tunnel
437.0|Freiheit|die Freiheit
439.0|bös|
440.0|Opfer|das Opfer
441.0|Gang|der Gang
441.1||die Gang
444.0|Basecap|
445.0|nimmer|
446.0|schwul|
447.0|Getto|das Getto
447.1||der Getto
448.0|unbarmherzig|
449.0|homophob|
450.0|unten|
451.0|drunter|
453.0|heimlich|
457.0|Gangsterboss|der Gangsterboss
459.0|darum|
460.0|weinen|
461.0|zittern|
462.0|Knie|das Knie
463.0|Lauf|der Lauf
464.0|weg|
465.0|selbst|
467.0|stark|
468.0|Rocker|der Rocker
469.0|tätowieren|
471.0|unter|
473.0|überhaupt|
474.0|Rock|der Rock
475.0|Ring|der Ring
478.0|roh|
479.0|Nachttisch|der Nachttisch
480.0|Bild|das Bild
484.0|bärenstark|
485.0|Torwart|der Torwart
487.0|selten|
488.0|rein|
489.0|konzentrieren|
490.0|Ball|der Ball
491.0|dürfen|
492.0|Mannschaft|die Mannschaft
493.0|Dusche|die Dusche
496.0|Mittelstürmer|der Mittelstürmer
497.0|Wein|der Wein
498.0|ruhig|
499.0|Schrei|der Schrei
500.0|Leben|das Leben
501.0|Gold|das Gold
503.0|Sehnsucht|die Sehnsucht
505.0|zieren|
506.0|davor|
507.0|Seele|die Seele
509.0|belügen|
510.0|schamlos|
511.0|benutzen|
512.0|die Seligkeit|die Seligkeit
513.0|Sünde|die Sünde
514.0|beschmutzen|
515.0|Gewinn|der Gewinn
517.0|Verlust|der Verlust
518.0|jetzt|
520.0|Inhalt|der Inhalt
521.0|Loch|das Loch
521.1||der Loch
522.0|gleich|
523.0|gehören|
524.0|Adrenalin|das Adrenalin
525.0|T|das T
526.0|Tyrosin|das Tyrosin
527.0|E|das E
529.0|D|das D
530.0|Dopamin|das Dopamin
531.0|die Euphorie|die Euphorie
532.0|exzessiv|
533.0|eh|
534.0|vorbei|
535.0|knapp|
536.0|verfehlen|
537.0|nochmal|
538.0|Neustart|der Neustart
539.0|zurückdrehen|
540.0|gegen|
542.0|ab|
543.0|zählen|
544.0|Versuch|der Versuch
545.0|kämpfen|
546.0|frei|
547.0|Fluch|der Fluch
550.0|bereit|
551.0|bisschen|
553.0|wenig|
555.0|Hysterie|die Hysterie
556.0|dabei|
557.0|drauf|
558.0|leben|
560.0|vorn|
561.0|zurück|
562.0|umdrehen|
563.0|weitergehen|
565.0|Universum|das Universum
566.0|drehen|
570.0|annehmen|
571.0|Körper|der Körper
572.0|dermaßen|
