title|author
Dörte Müller|Sudden
Holzmichel (Die Antwort) (Radio Version)|De Randgruppe, Koko Kotolomeo
Deutschland ist schön|Knorkator
Geld|Knorkator
Nur ein Wort|Wir sind Helden
Nur noch kurz die Welt retten|Tim Bendzko
Schüsse in die Luft|Kraftklub
Gollum auf Ecstasy|ok.danke.tschüss
Wenn ich du wär|Moop Mama
Der Zirkus|Florian Paul & Die Kapelle der letzten Hoffnung
Zwei im Bus|Dota Kehr
Muschigeburt|ok.danke.tschüss
Bella Maria|Florian Paul & Die Kapelle der letzten Hoffnung
Dosenbier und Zärtlichkeit|Mono & Nikitaman
##@@@ (zeig mir was neues)|Jakob Heymann
Joel|ok.danke.tschüss
Endlich Wien|Florian Paul & Die Kapelle der letzten Hoffnung
Licht der Stadt|Treptow
Verwandtschaftstreffen (Weihnachtsversion)|RIAN
Das Geschenk|Sportfreunde Stiller
Mathematik - A19|Lindemann, Haftbefehl
We Are Family|Timi Hendrix, Trailerpark
Recht kommt (K.O... in KA)|POL1Z1STENS0HN a.k.a. Jan Böhmermann, Justice
herz und faust und zwinkerzwinker|POL1Z1STENS0HN a.k.a. Jan Böhmermann
Rainer Wendt (Du bist kein echter Polizist)|Jan Böhmermann
Tanzlehrerin|Till Lindemann
Selbst verliebt|Till Lindemann
Steil-geh-Tag|Das Lumpenpack
Alles dreht sich|Der König tanzt
Hörsprechgarnitur|Marc-Uwe Kling & Die Gesellschaft
Scheißverein|Marc-Uwe Kling & Die Gesellschaft
Blasserdünnerjunge macht sein Job|POL1Z1STENS0HN a.k.a. Jan Böhmermann
Haus brennt|Shaban, Käptn Peng
Wie man Feuer macht|Grossstadtgeflüster
Jetzt ist Schluss|Irie Révoltés
Die Polizei ist nicht im Internet|Jan Böhmermann
Deutschland ist wieder im Reichstag zurück|Jan Böhmermann
Kinderlied|Falk
H.D.F.K.K.|Olli Schulz
Claus Weselsky|Jan Böhmermann, Jadebuben, Rundfunk-Tanzorchester Ehrenfeld
Urlaub In Deutschland|Rainald Grebe
Alle lieben Capybaras|Jan Böhmermann
Marzipan|Monsters Of Liedermaching
Böhmermann ist Schuld|Jan Böhmermann, Isabel Varell, Jadebuben
Zur Not Norbert Röttgen|Jan Böhmermann, Jadebuben
Schmerztabletten|Marc-Uwe Kling & Die Gesellschaft
Na Na Na Na|Marc-Uwe Kling & Die Gesellschaft
Im Biomarkt - Live|Falk
Es gibt keine Nazis in Sachsen|Jan Böhmermann, Maik vom LKA
Raucher|Rainald Grebe, Die Kapelle der Versöhnung
Kinder|Wise Guys
Nichts funktioniert|Marc-Uwe Kling & Die Gesellschaft
Denglisch|Wise Guys
Ambivalent|Olli Schulz
Pest im Paradies|Rakede
Teamgeist|Alligatoah
Tausend Zweite Chancen|Timi Hendrix, Sapient
Amsterdam - Single Mix|Fettes Brot
Du driftest nach rechts|Fettes Brot
Kapuze|Moop Mama
Platz da|Käptn Peng, Die Tentakel von Delphi
Batikhose|KAFVKA
Nichts|Faber
Liebe|Moop Mama
Kieztränen|Fynn Kliemann
21, 22, 23|AnnenMayKantereit
Der Anfang ist nah|Käptn Peng, Die Tentakel von Delphi
Lang lebe die Störung im Betriebsablauf|Von Wegen Lisbeth
Antifaschist|Irie Révoltés, Mal Élevé
Omega Peng|Käptn Peng, Die Tentakel von Delphi
Meine Kneipe|Von Wegen Lisbeth
Meister und Idiot|Käptn Peng, Die Tentakel von Delphi
Piraten|257ers
WobWobWob|Käptn Peng, Die Tentakel von Delphi
Trostpreis|Alligatoah, Timi Hendrix
Sie mögen sich|Shaban, Käptn Peng
Lass die Musik an|Madsen
Gewalt|Monsters Of Liedermaching
Kompass & Chauffeur (Akustik / Herzschmerz Session)|Alarmsignal, SHIRLEY HOLMES, Mel Marker
Rauch-Haus-Song|KAFVKA
To Do Liste|Monsters Of Liedermaching
An meinem Fahrrad ist alles dran|Alligatoah
Bielefeld, Paris oder Madrid|Deine Cousine
Zimmerpflanze|RIAN
Pauken und Trompeten|Die Lieferanten
Pause machen geht nicht|Die Türen
Alles, was du has(s)t|Die Lieferanten
Eigentum|Knorkator
Moor|Coppelius
1000 Jahre Bier|Deichkind
Bude Voll People|Deichkind
Von toten Pferden (Ein schönes Lied)|Treptow
Traurig aber ist so|RAUM27
Dann ohne mich|Donots
Protest ist cool aber anstrengend|Madsen
Papierfliegerfrau|Nun flog Dr. Bert Rabe
Grosse Freiheit|Swiss & Die Andern
Oh Evelyn|Treptow
Molotow|Moop Mama
Vivaldi|Faber
Jetzt|Irie Révoltés
Rennrad|Dota Kehr
Unten|Käptn Peng, Die Tentakel von Delphi
Mingvase|Danger Dan
Alice im Wunderland|Disarstar
Feinstaub|Alligatoah
Mit dir schlafen|Alligatoah, Esther Graf
Nachbeben|Alligatoah
Tanz auf dem Vulkan|Hämatom
Eintag|Die Lieferanten
Schwarm|Die Lieferanten
FaFaFa|Die Ärzte
Deine Schuld|Die Ärzte
Leichenhalle|Die Ärzte
Wir sind die Lustigsten|Die Ärzte
Perfekt|Die Ärzte
ICH, AM STRAND|Die Ärzte
ACHTUNG: BIELEFELD|Die Ärzte
Pädagogen|Das Lumpenpack
Helden|Apocalyptica, Till Lindemann
M&F|Die Ärzte
Unter meinem Fenster|Adam Angst
Manchmal haben Frauen...|Die Ärzte
Zwitter|Rammstein
Foltergeist|Völkerball
Professoren|Adam Angst
Was der Teufel sagt|Adam Angst
Alle sprechen Deutsch|Adam Angst
Nazis nehmen uns die Arbeitsplätze weg|Alarmsignal
Fick ihn doch|Alligatoah
Pizza (mit Bela B)|Antilopen Gang, Bela B
Baby, du siehst gut aus!|Bakkushan
Springwut|Bakkushan
Kryptoxenoarchäologie|Coppelius
Stärker als du denkst|Deine Cousine
Bettmagnet|Die Ärzte
Fiasko|Die Ärzte
Schrei nach Liebe|Die Ärzte
Junge|Die Ärzte
Euphorie|Down Below
Belladonna|In Extremo
Milliardäre|Knorkator
Ein Lied|Rammstein
Leben|Heldmaschine, Hava Kagermann
Die Geschichten von den schwarzen Buben|Knorkator
Tausend Mann und ein Befehl|OOMPH!
Hallo Welt|KAFVKA
Unrockbar|Die Ärzte
BE DEUTSCH!|Jan Böhmermann
Fortschritt|Knorkator
Zähneputzen, Pullern und ab ins Bett|Knorkator
ICH ICH ICH|Alligatoah
Weichen und Zunder|Völkerball
Collateral|Heldmaschine
Waldspaziergang mit Folgen|Die Ärzte
Du riechst so gut|Rammstein
Ich bin der Boss|Knorkator
Sieg der Vernunft|Knorkator
Bonobo|OOMPH!
Zeit|Rammstein
Nur mal angenommen|Knorkator
Für meine Fans|Knorkator
Zunge|Till Lindemann
Weiter!|Heldmaschine
Halt|Rammstein
Lügen|Rammstein
Tanz deinen Schmerz weg|KAFVKA
Frühling in Paris|Rammstein
Menschenfresser|Eisbrecher
Seemannsrose|OOMPH!
Fleisch und Fell|OOMPH!
Verloren|Alligatoah
Asoziale Gesellschaft|Mono & Nikitaman
