|lemma|lemma_correct
22461.0|Ebene|die Ebene
22462.0|schweben|schweben
22469.0|Barriere|die Barriere
22471.0|Lassen|Lassen
22475.0|Wissen|das Wissen
22480.0|jener|jener
22499.0|Gestern|das Gestern
22524.0|unbeweglich|unbeweglich
22580.0|unbegrenzt|unbegrenzt
22588.0|Fluß|Fluß
22592.0|Feuer|das Feuer
22594.0|Donner|der Donner
22597.0|Wert|der Wert
22598.0|weiterwachsen|weiterwachsen
22606.0|äußerlich|äußerlich
22620.0|pflanzen|pflanzen
22630.0|ebenfalls|ebenfalls
22631.0|begrenzen|begrenzen
22646.0|Kränkung|die Kränkung
22648.0|manifestieren|manifestieren
22651.0|Beschränkung|die Beschränkung
22663.0|Materie|die Materie
22667.0|tränken|tränken
22670.0|Getrenntheit|Getrenntheit
22710.0|solange|solange
22726.0|fremd|fremd
22737.0|Sonnenbrille|die Sonnenbrille
22743.0|Kanal|der Kanal
22752.0|Reflexion|die Reflexion
22760.0|Treptow|Treptow
22773.0|komisch|komisch
22780.0|günstig|günstig
22794.0|Waschmaschine|die Waschmaschine
22850.0|dauernd|dauernd
22971.0|anstehen|anstehen
22987.0|Türsteher|der Türsteher
22988.0|prüfen|prüfen
23009.0|Basilikum|das Basilikum
23013.0|Balkon|der Balkon
23015.0|Ali|Ali
23023.0|etwa|etwa
23026.0|Hautfarbe|die Hautfarbe
23029.0|Stroboskop|das Stroboskop
23041.0|gratis|gratis
23050.0|Disko|die Disko
23108.0|Fete|die Fete
23109.0|Klatschen|das Klatschen
23125.0|Machete|die Machete
23125.001|Machete|der Machete
23134.0|Rakete|die Rakete
23143.0|verpissen|verpissen
23161.0|Sauna|die Sauna
23163.0|Schweden|Schweden
23242.0|Güte|die Güte
23250.0|Fass|das Fass
23254.0|Pfand|das Pfand
23254.001|Pfand|der Pfand
23268.0|Hopfen|der Hopfen
23448.0|genießen|genießen
23454.0|schneien|schneien
23458.0|Jahreszeit|die Jahreszeit
23460.0|morgens|morgens
23463.0|lächeln|lächeln
23528.0|zusehen|zusehen
23531.0|duschen|duschen
23554.0|Abend|der Abend
23630.0|verschweigen|verschweigen
23693.0|Kalenderblatt|das Kalenderblatt
23694.0|herunter|herunter
23697.0|Jalousie|die Jalousie
23705.0|Katastrophe|die Katastrophe
23723.0|versäumen|versäumen
23751.0|Galgen|der Galgen
23754.0|Fahrtwind|der Fahrtwind
23758.0|Benzin|das Benzin
23763.0|Trecker|der Trecker
23765.0|Berlin|Berlin
23766.0|Flugblatt|das Flugblatt
23768.0|Hakenkreuz|das Hakenkreuz
23771.0|Konsequenz|die Konsequenz
23773.0|Potsdam|Potsdam
23775.0|Fascho|Fascho
23777.0|Wannseekonferenz|die Wannseekonferenz
23780.0|Hochwasser|das Hochwasser
23784.0|Beckenbauer|Beckenbauer
23786.0|Bubatz|das Bubatz
23786.001|Bubatz|der Bubatz
23788.0|legal|legal
23789.0|Raab|die Raab
23795.0|versöhnen|versöhnen
23804.0|gewöhnen|gewöhnen
23818.0|senil|senil
23819.0|Rentner|der Rentner
23822.0|Präsident|der Präsident
23825.0|checken|checken
23836.0|verurteilen|verurteilen
23843.0|wegdrehen|wegdrehen
23846.0|hohl|hohl
23866.0|Björn|Björn
23869.0|Reichskanzler|der Reichskanzler
23883.0|Superheld|der Superheld
