global                                                   |всемирный, мировой                                                                                                                                                  | ~ search of a file — глобальный поиск файла (поиск среди всех файлов)
dive                                                     |ныряние (в воду), внезапное движение, рывок, нырять                                                                                                                 | "to ~ into a river — нырнуть в реку The company's share price ...ed 19 % overnight — Акции компании мгновенно упали на 19% The goalkeeper ...ed for the ball but missed it — Голкипер бросился за мячом, но упустил его Escaping, the thief made a ~ into the nearest shop — Спасаясь от погони, вор нырнул в ближайший магазин"
BrE labour NAmE labor                                    |труд, рабочий класс, трудиться, работать (обычно тяжело, усердно)                                                                                                   | 
engine                                                   |машина, мотор (обычно на топливе)                                                                                                                                   | 
worker                                                   |рабочий (человек)                                                                                                                                                   | 
concept                                                  |понятие, идея, общее представление, концепция                                                                                                                       | 
emerge                                                   |появляться, показываться, выходить (откуда-л.)                                                                                                                      | 
garden                                                   |сад                                                                                                                                                                 | 
ace                                                      |очко, карт. туз, ас, главный козырь, лучший, высшая оценка                                                                                                          | 
video                                                    |видео                                                                                                                                                               | 
fresh                                                    |свежий, новый, чистый                                                                                                                                               | They have ~ bread every morning at the bakery — Каждое утро у них в пекарне свежий хлеб ~ meat — свежее мясо Open the window and let in a little ~ air — Открой окно и впусти немного свежего воздуха The lessons remain ~ in her memory — Уроки свежи в её памяти
staff                                                    |штат (служащих), штаб (воен.), штатный                                                                                                                              | 
conduct                                                  |сопровождать, сопутствовать, быть чьим-л. проводником, руководство, управление                                                                                      | to ~ tourists through a museum — водить туристов по музею good ~ — послушание, хорошее поведение
partner                                                  |партнер                                                                                                                                                             | 
circle                                                   |круг, окружность, вращаться                                                                                                                                         | 
defence (BrE) = defense (NAmE)                           |защита, оборона                                                                                                                                                     | 
chest                                                    |грудная клетка                                                                                                                                                      | 
mom                                                      |мама                                                                                                                                                                | 
attend                                                   |посещать, присутствовать                                                                                                                                            | "to ~ a lecture — посетить лекцию to ~ school — ходить в школу to ~ to one's own business — заботиться о собственных делах I was not ~ing to the conversation — Я не следил за беседой"
bottom                                                   |дно, низ                                                                                                                                                            | 
tall                                                     |высокий (о человеке, животном)                                                                                                                                      | 
variety                                                  |многообразие, разнообразие                                                                                                                                          | ~ the mother of enjoyment — Разнообразие - источник наслаждения
discuss                                                  |обсуждать                                                                                                                                                           | 
shirt                                                    |рубашка (мужская)                                                                                                                                                   | 
current                                                  |струя, течение, текущий                                                                                                                                             | 
respond                                                  |отвечать, отзываться, реагировать                                                                                                                                   | to ~ with a blow — ответить ударом to ~ to kindness — отозваться на доброе отношение to ~ to treatment — поддаваться лечению
unit                                                     |единица, целое, единица (измерен.), секция, блок, воен.: часть                                                                                                      | 
except                                                   |кроме, исключать                                                                                                                                                    | 
nuclear                                                  |ядерный                                                                                                                                                             | ~ membrane — ядерная мембрана ~ reactor — ядерный реактор
degree                                                   |степень, градус                                                                                                                                                     | 
conflict                                                 |конфликт, столкновение, коллизия                                                                                                                                    | ~ of interests — конфликт, противоборство интересов to provoke a ~ — спровоцировать конфликт armed ~ вооружённый конфликт
ignore                                                   |игнорировать                                                                                                                                                        | 
bottle                                                   |бутылка                                                                                                                                                             | 
normal                                                   |нормальный                                                                                                                                                          | 
dry                                                      |сухой, сушить(ся)                                                                                                                                                   | 
earth                                                    |земля, почва                                                                                                                                                        | By means of sand it is, that the fatty ~ is rendered fertile — С помощью песка жирную землю можно сделать плодородной The ~ rotates on its axis — Земля вращается вокруг своей оси
rich                                                     |богатый, плодородный                                                                                                                                                | 
encourage                                                |ободрять, поощрять, поддерживать (в чём-л.)                                                                                                                         | Is it kind to ~ the singer in her hopes? — Хорошо ли получится, если мы будем обнадёживать певицу?
pair                                                     |пара (напр. сапог)                                                                                                                                                  | 
natural                                                  |естественный                                                                                                                                                        | 
slip                                                     |скольжение, ошибка, скользить, поскользнуться                                                                                                                       | "He ~ed on the ice — Он поскользнулся на льду I'd like to ~ away before the end of the meeting — Я хочу улизнуть до конца собрания This last clause sure ~ed from him unawares — Было очевидно, что это последнее предложение сорвалось у него нечаянно Then ~ not the chance when it is in your power — Не упусти шанс, когда он в твоих руках"
account                                                  |счет, отчет, причина, считать, признавать                                                                                                                           | to close / open an ~ with a bank — закрывать / открывать счёт в банке to take into ~ — принимать во внимание outstanding ~ — неоплаченный счёт
forest                                                   |лес                                                                                                                                                                 | 
department                                               |отдел                                                                                                                                                               | 
worth                                                    |цена, стоимость, ценность, имеющий ценность                                                                                                                         | You can read this book and judge its ~ for yourself — Вы можете прочитать эту книгу и решить сами, чего она стоит The necklace is of no real ~ — Ожерелье на самом деле ничего не стоит It is ~ much more than I paid for it — Это стоит намного больше, чем я заплатил
battle                                                   |битва, сражение, бой                                                                                                                                                | 
expression                                               |выражение                                                                                                                                                           | 
dance                                                    |танец, танцы (вечеринка), танцевать                                                                                                                                 | 
army                                                     |армия                                                                                                                                                               | 
stun                                                     |оглушать, ошеломлять                                                                                                                                                | 
restaurant                                               |ресторан                                                                                                                                                            | 
activity                                                 |деятельность                                                                                                                                                        | 
attorney                                                 |адвокат, юрист                                                                                                                                                      | 
beginning                                                |начало                                                                                                                                                              | since the ~ of time — с незапамятных времен from (the) ~ — с самого начала from ~ to end — от начала до конца
knowledge                                                |знание, знания                                                                                                                                                      | 
whom                                                     |кого, которого                                                                                                                                                      | 
magazine                                                 |журнал (периодический)                                                                                                                                              | 
exist                                                    |существовать, жить                                                                                                                                                  | 
argue                                                    |спорить, утверждать, доказывать                                                                                                                                     | 
feed (fed, fed)                                          |кормить(ся), питаться, есть, питание, еда, корм                                                                                                                     | We brought along pieces of old bread and ~ the birds — Мы принесли засохший хлеб и покормили птиц He is so weak that he cannot ~ himself — Он настолько слаб, что не может сам есть The farmer is ~ing up the chickens for Christmas — Фермер откармливает цыплят к Рождеству
photo                                                    |фотография                                                                                                                                                          | 
crisis                                                   |кризис                                                                                                                                                              | 
reporter                                                 |репортер                                                                                                                                                            | 
file                                                     |картотека, подшитые документы, бумаги, регистрировать хранить, подшивать (бумаги) в определённом порядке                                                            | 
trade                                                    |торговля, торговать                                                                                                                                                 | 
obviously                                                |очевидно                                                                                                                                                            | 
define                                                   |(~ as) определять (значение слова), давать определение (какому-л. понятию)                                                                                          | "You can ~ the word ""difficult"" as ""not easy."" — Значение слова ""трудный"" можно определить как ""не являющийся лёгким rigidly ~ed property lines — строго определённые границы собственности"
sir                                                      |сэр, господин                                                                                                                                                       | 
common                                                   |общий, общепринятый, простой, обыкновенный                                                                                                                          | 
audience                                                 |публика, зрители                                                                                                                                                    | 
unless                                                   |если не                                                                                                                                                             | I will come ~ I change my mind — я приду, если не передумаю he never does anything ~ compelled to — он ничего не делает, пока /если/ его не заставишь
nose                                                     |нос, обоняние                                                                                                                                                       | 
style                                                    |стиль, манера, мода                                                                                                                                                 | "to write good English ~ — писать на хорошем английском языке I don't like his ~ of playing the piano [of talking] — мне не нравится его манера игры на рояле [разговаривать] his ~ of living — его образ жизни to dress in good ~ — одеваться с большим вкусом"
victim                                                   |жертва                                                                                                                                                              | flood ~ — жертва наводнения
